type,x,y,z
o,4,11,6
o,7,12,8
x,5,15,7
o,7,27,6
x,2,34,4
y,6,32,5
o,4,48,4
o,12,47,4
x,8,49,3
o,10,53,3
o,16,10,7
x,17,13,8
y,14,22,9
o,8,33,6
x,22,37,5
o,25,42,4
o,32,52,2
x,34,44,3
o,37,45,3
o,40,32,5
y,27,33,7
x,38,36,5
o,41,32,5
x,25,25,7
y,24,22,8
o,29,24,7
o,28,23,7
y,38,18,5
o,41,15,6
o,41,8,6
y,20,12,7
o,24,9,7
x,22,12,8
y,18,11,8
o,34,30,6
y,36,25,6
o,38,22,5
o,46,19,7
o,44,21,8
o,39,26,5
o,46,32,6
o,52,23,9
y,55,15,11
o,53,24,10
y,52,25,10
o,48,29,8
o,81,5,13
y,88,4,12
y,74,6,1
y,82,7,14
y,97,10,13
x,82,14,14
y,97,15,14
x,74,15,10
w,78,18,15
w,79,17,15
w,77,18,16
y,68,22,16
x,72,21,16
y,65,30,11
x,79,21,16
w,84,21,15
w,84,19,16
y,83,23,15
o,95,26,14
x,97,27,13
o,98,30,12
y,95,29,14
o,88,31,11
x,85,27,15
x,75,25,15
y,70,28,13
o,69,29,11
y,68,34,10
o,69,35,10
x,68,36,9
o,67,37,9
x,75,27,14
x,79,58,14
w,82,27,14
w,83,33,12
x,78,32,13
x,74,27,13
y,73,34,12
y,69,39,10
o,72,35,11
o,74,37,11
w,84,34,11
x,77,40,11
x,87,38,9
x,80,40,10
x,77,40,11
x,74,40,10
y,74,41,8
o,78,41,9
w,82,41,9
x,89,42,8
y,98,44,8
w,81,42,8
x,84,45,8
x,75,42,7
x,73,43,6
x,70,42,7
o,65,43,4
o,71,45,5
o,75,43,7
x,79,44,8
w,81,42,7
o,87,42,7
y,94,47,6
y,90,45,7
o,74,47,6
x,77,42,8
w,80,46,7
o,83,47,6
y,87,48,6
y,98,50,5
x,97,51,5
o,99,52,4
o,98,52,5
o,97,52,5
o,73,48,5
o,73,50,3
w,77,47,6
y,89,52,5
o,85,53,4
o,81,48,5
o,80,51,4
w,77,50,5
w,77,52,3
x,74,52,3
x,74,53,2
w,75,53,2
w,75,54,2
x,67,58,2
w,71,58,2
o,82,53,3
o,85,56,2
o,82,55,2
x,78,53,3
x,88,58,2
y,90,58,2
